California Kern River First Purchase Price,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=F005006133&f=M,
20:09:22 GMT+0530 (India Standard Time),
Data source: U.S. Energy Information Administration,
Month,California Kern River First Purchase Price Dollars per Barrel
7/1/1996,14.69
6/1/1996,14.41
5/1/1996,15.19
4/1/1996,18.12
3/1/1996,16.75
2/1/1996,14.48
1/1/1996,14.11
12/1/1995,13.12
11/1/1995,12.55
10/1/1995,13
9/1/1995,13.91
8/1/1995,13.82
7/1/1995,13.82
6/1/1995,14.47
5/1/1995,14.86
4/1/1995,14.41
3/1/1995,13.45
2/1/1995,13.15
1/1/1995,12.65
12/1/1994,12.47
11/1/1994,12.94
10/1/1994,12.61
9/1/1994,12.91
8/1/1994,13.25
7/1/1994,13.09
6/1/1994,12.72
5/1/1994,11.72
4/1/1994,10.31
3/1/1994,9.43
2/1/1994,9
1/1/1994,8.27
12/1/1993,8.26
11/1/1993,10.12
10/1/1993,11.29
